id_cliente,plano,valor_mensal,cidade,estado,status,data_adesao
1,Essencial,59.9,da Luz de Novaes,PI,Ativo,2026-01-13
2,Premium,89.9,Sampaio,CE,Ativo,2026-01-13
3,Basico,39.9,Aparecida da Mata,RR,Ativo,2026-01-13
4,Basico,39.9,Camargo da Prata,AL,Ativo,2026-01-13
5,Essencial,59.9,Sá,MS,Ativo,2026-01-13
6,Premium,89.9,Marques,RN,Ativo,2026-01-13
7,Basico,39.9,Montenegro de Aparecida,SC,Ativo,2026-01-13
8,Premium,89.9,Santos do Amparo,MA,Churn,2026-01-13
9,Basico,39.9,Rodrigues da Mata,PA,Ativo,2026-01-13
10,Basico,39.9,Fogaça,PA,Churn,2026-01-13
11,Premium,89.9,da Mota,PA,Ativo,2026-01-13
12,Essencial,59.9,Mendonça,MS,Churn,2026-01-13
13,Basico,39.9,Alves do Sul,SE,Churn,2026-01-13
14,Essencial,59.9,Novais,BA,Churn,2026-01-13
15,Essencial,59.9,Correia,TO,Ativo,2026-01-13
16,Essencial,59.9,Duarte,BA,Ativo,2026-01-13
17,Essencial,59.9,Cassiano,AL,Ativo,2026-01-13
18,Basico,39.9,da Conceição de Goiás,GO,Churn,2026-01-13
19,Essencial,59.9,Souza do Sul,AP,Ativo,2026-01-13
20,Essencial,59.9,Nogueira,CE,Ativo,2026-01-13
21,Essencial,59.9,da Luz de Camargo,PR,Ativo,2026-01-13
22,Essencial,59.9,Moura,BA,Ativo,2026-01-13
23,Basico,39.9,Vieira das Pedras,RO,Ativo,2026-01-13
24,Basico,39.9,da Conceição,PE,Ativo,2026-01-13
25,Premium,89.9,Duarte do Amparo,AP,Ativo,2026-01-13
26,Basico,39.9,Moraes de Camargo,SE,Churn,2026-01-13
27,Premium,89.9,Oliveira,CE,Churn,2026-01-13
28,Basico,39.9,Fonseca,RJ,Churn,2026-01-13
29,Basico,39.9,da Rosa,SC,Ativo,2026-01-13
30,Essencial,59.9,Brito de Minas,SE,Ativo,2026-01-13
31,Essencial,59.9,Moreira da Praia,MS,Churn,2026-01-13
32,Essencial,59.9,Freitas,RR,Churn,2026-01-13
33,Basico,39.9,Correia,RN,Ativo,2026-01-13
34,Essencial,59.9,Campos de Casa Grande,PA,Ativo,2026-01-13
