id_atendimento,id_cliente,id_servico,data_abertura,data_fechamento,tempo_atendimento_min,custo_real,sla_real_min,ano,mes,plano,categoria
1,4346,3,2024-07-02 01:15:33,2024-07-02 06:08:33,293,158.87107811730183,293.0,2024,7,Basico,Saúde
2,3222,6,2023-03-02 15:26:37,2023-03-02 19:14:37,228,196.12935064797983,228.0,2023,3,Premium,Pet
3,1553,6,2023-04-24 22:35:02,2023-04-24 22:51:02,16,74.40506941350999,16.0,2023,4,Basico,Pet
4,3027,7,2024-12-08 23:55:16,2024-12-09 02:46:16,171,109.99634015411054,171.0,2024,12,Basico,Seguro
5,2860,2,2023-05-02 00:26:24,2023-05-02 02:01:24,95,124.57571229598337,95.0,2023,5,Basico,Automotivo
6,1381,8,2023-04-23 19:51:10,2023-04-24 00:00:10,249,236.8257222200833,249.0,2023,4,Premium,Jurídico
7,315,3,2024-07-27 04:15:21,2024-07-27 09:09:21,294,120.94994064233391,294.0,2024,7,Essencial,Saúde
8,3723,6,2024-03-11 23:48:48,2024-03-12 00:32:48,44,133.25862585565952,44.0,2024,3,Essencial,Pet
9,3658,3,2023-11-16 22:07:45,2023-11-17 01:50:45,223,218.54892223517183,223.0,2023,11,Basico,Saúde
10,4192,2,2023-12-16 19:11:32,2023-12-16 22:55:32,224,165.6162894460297,224.0,2023,12,Premium,Automotivo
11,3447,6,2024-04-25 02:03:19,2024-04-25 02:52:19,49,239.8159242970827,49.0,2024,4,Essencial,Pet
12,342,2,2023-03-27 05:36:44,2023-03-27 06:42:44,66,219.6077982647968,66.0,2023,3,Premium,Automotivo
13,2408,8,2023-02-03 18:08:02,2023-02-03 21:37:02,209,97.21362378542445,209.0,2023,2,Premium,Jurídico
14,3041,2,2023-11-22 02:50:40,2023-11-22 07:25:40,275,73.60165420194369,275.0,2023,11,Essencial,Automotivo
15,4068,7,2024-06-15 03:16:42,2024-06-15 04:09:42,53,216.41951064928253,53.0,2024,6,Essencial,Seguro
