id_cliente,id_atendimento,nota_nps,data_pesquisa,categoria
3802,10651,10,2023-09-16 02:54:42,Pet
2029,2042,2,2025-06-28 13:54:49,Saúde
1690,8669,4,2024-02-06 11:48:22,Residencial
3805,1115,8,2024-06-18 05:20:15,Jurídico
432,13903,10,2023-07-12 05:19:28,Saúde
668,11964,9,2025-06-12 10:33:23,Saúde
2486,11073,0,2025-12-25 16:47:39,Saúde
2608,3003,10,2025-09-11 01:56:14,Automotivo
770,19772,10,2023-02-11 16:48:22,Saúde
2646,8116,10,2024-08-17 03:29:58,Residencial
4093,3526,7,2024-11-30 01:18:14,Automotivo
3860,7880,4,2024-01-16 01:59:50,Automotivo
4290,16442,7,2023-09-09 11:36:31,Jurídico
472,16297,8,2023-11-07 23:35:34,Residencial
4711,12567,10,2023-12-29 00:46:54,Automotivo
757,5253,10,2024-04-17 21:34:27,Pet
2430,19394,10,2023-02-09 17:38:34,Saúde
251,16797,10,2025-05-02 19:23:27,Seguro
3098,8095,6,2025-06-16 02:28:26,Pet
2083,323,10,2025-01-02 21:07:28,Automotivo
3611,9924,6,2025-04-01 13:12:11,Residencial
2101,7460,10,2025-03-16 13:17:03,Jurídico
157,19025,8,2024-03-07 02:39:40,Benefícios
838,17554,10,2023-09-11 17:27:04,Benefícios
918,9120,10,2024-12-02 09:25:35,Saúde
555,16422,8,2023-03-27 16:00:39,Saúde
3827,16061,7,2023-03-21 11:17:52,Seguro
3244,10121,8,2025-09-15 10:51:55,Benefícios
227,19056,6,2024-07-21 09:49:53,Residencial
4975,3650,3,2024-01-21 03:05:34,Saúde
1715,3942,8,2025-02-13 09:19:02,Saúde
2119,17881,5,2025-03-05 09:51:58,Saúde
3558,16676,10,2024-03-28 20:10:54,Saúde
514,12631,9,2024-11-22 23:17:26,Jurídico
340,11444,10,2025-11-01 05:49:50,Automotivo
2482,12158,10,2025-12-12 09:29:15,Automotivo
1616,13836,10,2024-08-12 20:06:27,Jurídico
2864,3435,10,2025-03-27 23:48:37,Jurídico
4390,18740,10,2023-01-10 18:07:08,Benefícios
1994,17408,6,2025-04-23 12:41:36,Residencial
912,15441,9,2025-08-30 11:57:19,Automotivo
4873,10407,10,2023-09-02 13:44:52,Residencial
1755,6518,10,2023-04-20 21:16:45,Residencial
711,972,8,2024-07-07 06:53:02,Benefícios
1483,16488,7,2025-03-21 11:25:45,Saúde
1006,19731,8,2025-11-09 18:19:14,Residencial
1944,13138,10,2025-03-05 03:33:11,Jurídico
276,3670,6,2025-08-10 12:42:31,Pet
2256,15984,5,2024-02-21 19:44:59,Benefícios
4917,4059,7,2025-01-18 17:38:22,Automotivo
666,14977,9,2024-12-02 04:42:03,Automotivo
2143,15699,4,2025-06-01 03:21:34,Pet
3555,13830,9,2023-09-08 16:45:27,Pet
3638,13420,10,2023-02-03 16:03:53,Residencial
522,961,10,2023-11-20 14:09:06,Residencial
609,17745,5,2024-11-17 22:10:23,Automotivo
3136,9865,7,2025-12-23 08:23:49,Saúde
4713,11264,9,2025-10-05 23:13:47,Seguro
2711,15783,8,2024-12-17 02:19:47,Pet
4729,17197,7,2023-05-13 05:02:50,Residencial
743,7555,8,2025-06-02 11:23:12,Residencial
1463,10499,7,2024-01-03 16:42:46,Pet
4549,17060,9,2023-11-25 22:46:50,Automotivo
3763,17929,7,2023-03-07 13:42:00,Pet
2642,7086,10,2025-08-05 15:42:09,Pet
2784,14754,0,2023-09-16 13:49:14,Jurídico
4436,4520,10,2025-12-28 19:33:17,Benefícios
2773,3025,10,2023-07-15 12:20:58,Seguro
3596,12122,10,2024-03-17 20:54:21,Pet
2088,18495,5,2023-12-26 12:38:42,Seguro
4483,5484,10,2025-04-09 05:38:17,Benefícios
2802,1420,6,2025-03-11 19:45:34,Saúde
1624,6210,6,2023-06-06 13:46:14,Seguro
3187,10743,10,2024-11-30 16:23:02,Jurídico
4449,16144,9,2025-07-02 10:02:41,Saúde
3178,17618,10,2025-11-11 02:16:14,Seguro
544,14569,9,2025-12-01 01:28:42,Pet
4965,981,10,2025-11-13 02:27:59,Residencial
1651,2784,7,2025-03-18 02:55:55,Saúde
202,7714,10,2024-08-03 06:47:57,Jurídico
4575,11519,10,2025-02-25 01:31:00,Jurídico
3958,8601,5,2025-03-02 06:31:34,Automotivo
591,11641,5,2023-10-19 19:36:20,Automotivo
3233,18831,9,2025-06-14 06:41:38,Pet
608,12563,10,2023-11-29 05:28:51,Saúde
568,12752,6,2023-11-03 13:33:39,Saúde
582,6385,9,2024-08-23 02:28:14,Seguro
598,4808,10,2024-06-18 06:17:24,Pet
132,6196,8,2023-10-06 15:33:48,Saúde
75,10649,9,2025-05-22 15:13:14,Seguro
224,7568,9,2023-05-07 01:40:06,Seguro
1122,16398,10,2023-12-24 22:19:38,Saúde
4738,17525,9,2025-05-12 13:21:21,Benefícios
2770,1347,9,2024-06-18 11:18:56,Benefícios
2447,13125,10,2023-11-10 03:49:51,Benefícios
1687,12674,6,2023-10-06 10:05:49,Residencial
4203,15456,7,2025-07-06 18:52:18,Benefícios
4550,14002,9,2023-02-06 11:35:31,Pet
3692,18622,8,2023-12-13 19:25:26,Benefícios
3958,2120,8,2025-04-01 23:41:01,Pet
2893,15305,10,2023-11-23 01:53:39,Residencial
4031,4310,10,2023-10-13 00:59:23,Jurídico
29,4485,10,2023-10-19 17:11:48,Pet
996,11014,2,2024-05-28 21:39:33,Seguro
3622,4771,9,2024-12-19 05:58:18,Pet
3947,2713,8,2025-04-22 09:00:01,Saúde
1015,12187,10,2023-01-24 01:14:15,Saúde
1890,16616,10,2023-07-29 15:09:23,Saúde
3584,10948,10,2025-12-25 10:13:26,Jurídico
2430,2546,9,2024-04-19 01:36:03,Benefícios
4893,12620,10,2023-01-08 22:26:21,Pet
1711,9852,9,2025-08-29 15:19:13,Residencial
4384,4411,9,2025-10-27 14:56:32,Jurídico
4111,19648,8,2024-11-24 04:21:11,Residencial
860,12345,4,2024-11-21 04:40:02,Seguro
3984,12408,10,2025-02-15 21:58:12,Automotivo
3461,9611,10,2024-07-16 11:20:07,Seguro
3153,10719,9,2025-04-20 13:23:46,Jurídico
308,7572,7,2023-07-25 01:56:59,Jurídico
181,3571,10,2023-10-17 18:47:44,Pet
3978,8603,9,2023-08-19 16:05:10,Saúde
945,3560,10,2025-01-04 11:54:03,Benefícios
3317,4992,7,2023-11-05 03:00:54,Residencial
2951,7440,4,2023-11-28 22:24:55,Saúde
483,9326,10,2025-02-05 17:17:30,Residencial
4771,2301,7,2023-11-30 10:15:10,Automotivo
1244,7667,9,2024-06-29 19:25:48,Automotivo
3,5805,10,2025-05-17 14:52:08,Pet
2286,12023,9,2025-11-30 10:09:57,Jurídico
1735,15538,6,2025-06-11 18:31:47,Saúde
3126,9758,8,2025-03-04 16:12:59,Seguro
2095,12015,0,2023-11-27 12:22:36,Saúde
119,5212,9,2024-04-01 16:49:12,Residencial
65,11549,7,2023-04-06 17:44:20,Automotivo
1948,12367,10,2025-10-31 23:14:22,Seguro
4556,9271,7,2023-01-07 05:14:08,Saúde
3591,3976,6,2025-12-19 08:20:13,Benefícios
2011,16091,10,2025-01-01 13:48:05,Saúde
1606,17233,7,2025-01-07 03:17:15,Seguro
4827,17444,10,2025-02-01 09:13:31,Pet
2963,13657,10,2025-08-05 15:20:43,Residencial
3851,15646,10,2023-02-17 17:32:30,Benefícios
1823,2731,10,2023-03-28 11:14:43,Pet
513,3299,5,2025-05-30 22:59:14,Benefícios
1754,8957,9,2024-02-15 02:33:12,Saúde
1639,17411,0,2025-09-29 10:39:19,Saúde
4117,15156,9,2024-05-01 02:07:19,Saúde
1800,17277,9,2024-09-11 04:25:46,Seguro
1539,6704,6,2023-11-20 02:10:59,Residencial
2475,1969,10,2023-05-25 23:59:05,Saúde
3222,4937,9,2024-09-27 09:15:27,Residencial
2026,2113,10,2023-03-21 10:05:50,Seguro
4327,879,0,2024-03-21 10:43:04,Benefícios
3908,19076,7,2025-09-25 02:06:16,Saúde
1120,12990,10,2023-10-19 20:34:08,Jurídico
2059,7278,1,2025-09-10 23:22:07,Seguro
3030,5710,9,2024-12-15 00:26:59,Saúde
4971,12079,9,2023-08-29 00:38:19,Saúde
532,6688,9,2025-11-04 15:40:36,Pet
1941,6419,1,2023-03-26 09:34:22,Benefícios
2634,10432,6,2024-11-16 00:43:19,Automotivo
4241,9983,10,2025-04-07 01:36:52,Seguro
289,19074,6,2023-07-14 00:09:09,Benefícios
4068,4630,7,2025-03-02 14:49:04,Automotivo
3433,8863,7,2023-02-05 23:32:41,Residencial
631,4668,9,2023-02-19 04:39:08,Saúde
209,14164,4,2023-01-16 13:43:59,Residencial
3204,386,4,2023-07-31 05:37:05,Seguro
2457,4187,7,2024-07-30 01:51:54,Pet
3504,5346,8,2024-01-24 17:35:17,Benefícios
4405,2196,8,2024-09-26 00:49:23,Seguro
1403,14991,10,2025-09-27 06:40:59,Residencial
737,12635,9,2024-05-21 07:06:39,Pet
2003,1078,10,2025-09-18 20:58:49,Saúde
2853,6287,10,2024-04-22 04:14:21,Jurídico
2830,5934,10,2023-05-24 07:29:00,Seguro
320,18513,10,2024-07-16 07:20:16,Pet
1964,19718,10,2024-11-26 19:30:33,Saúde
3775,13364,5,2024-12-27 08:19:26,Jurídico
1878,8073,9,2024-08-18 05:18:43,Saúde
3782,17021,10,2023-01-12 03:17:36,Residencial
3684,9544,7,2025-11-22 12:38:01,Residencial
4552,19095,9,2023-03-06 12:51:35,Jurídico
301,13356,6,2025-11-02 20:22:44,Saúde
2220,18632,10,2023-03-04 12:02:22,Saúde
4600,2849,9,2025-11-04 14:21:12,Saúde
3465,12792,8,2025-01-30 10:56:45,Seguro
4204,7723,10,2023-02-07 07:17:07,Jurídico
4124,813,10,2025-02-17 02:33:34,Pet
1222,11194,7,2024-10-08 09:57:54,Automotivo
189,5136,10,2023-10-07 02:17:23,Residencial
743,8511,6,2025-03-14 09:35:01,Saúde
1151,7435,9,2025-09-03 06:40:53,Pet
2485,16477,1,2025-07-25 08:26:20,Saúde
2366,937,9,2023-12-06 11:21:26,Saúde
4921,11966,7,2024-07-26 19:02:46,Seguro
125,1693,8,2025-04-07 02:08:57,Seguro
337,6217,9,2025-02-09 04:26:22,Saúde
1563,9460,8,2025-07-26 18:22:13,Benefícios
1034,12528,9,2024-03-17 20:09:41,Pet
39,15485,10,2024-11-24 17:00:42,Automotivo
1062,5793,10,2023-09-30 03:37:48,Saúde
