id_atendimento,id_cliente,id_servico,data_abertura,data_fechamento,tempo_atendimento_min,custo_real
1,4346,3,2024-07-02 01:15:33,2024-07-02 06:08:33,293,158.87107811730183
2,3222,6,2023-03-02 15:26:37,2023-03-02 19:14:37,228,196.12935064797983
3,1553,6,2023-04-24 22:35:02,2023-04-24 22:51:02,16,74.40506941350999
4,3027,7,2024-12-08 23:55:16,2024-12-09 02:46:16,171,109.99634015411054
5,2860,2,2023-05-02 00:26:24,2023-05-02 02:01:24,95,124.57571229598337
6,1381,8,2023-04-23 19:51:10,2023-04-24 00:00:10,249,236.8257222200833
7,315,3,2024-07-27 04:15:21,2024-07-27 09:09:21,294,120.94994064233391
8,3723,6,2024-03-11 23:48:48,2024-03-12 00:32:48,44,133.25862585565952
9,3658,3,2023-11-16 22:07:45,2023-11-17 01:50:45,223,218.54892223517183
10,4192,2,2023-12-16 19:11:32,2023-12-16 22:55:32,224,165.6162894460297
11,3447,6,2024-04-25 02:03:19,2024-04-25 02:52:19,49,239.8159242970827
12,342,2,2023-03-27 05:36:44,2023-03-27 06:42:44,66,219.60779826479677
13,2408,8,2023-02-03 18:08:02,2023-02-03 21:37:02,209,97.21362378542445
14,3041,2,2023-11-22 02:50:40,2023-11-22 07:25:40,275,73.60165420194369
15,4068,7,2024-06-15 03:16:42,2024-06-15 04:09:42,53,216.41951064928253
16,1726,6,2023-06-29 01:37:46,2023-06-29 04:06:46,149,185.9014839807005
17,4490,6,2024-11-01 04:42:50,2024-11-01 09:10:50,268,226.54801449795522
18,3048,4,2023-10-06 08:36:05,2023-10-06 08:54:05,18,236.12221072275233
19,1701,1,2024-10-15 02:53:51,2024-10-15 05:53:51,180,84.91818118653018
20,1790,5,2023-06-13 16:12:13,2023-06-13 18:40:13,148,141.1866670508387
21,4187,6,2025-01-14 16:05:10,2025-01-14 16:47:10,42,93.06907434026945
22,4071,7,2024-01-19 01:43:13,2024-01-19 04:49:13,186,219.67485421454813
23,4287,5,2025-03-04 16:17:08,2025-03-04 19:29:08,192,90.58940305037916
24,4951,3,2023-12-22 13:55:33,2023-12-22 15:15:33,80,146.71376000703378
25,4101,4,2025-02-11 20:50:44,2025-02-11 23:18:44,148,142.62479515146725
26,4217,1,2025-03-23 19:48:19,2025-03-23 23:56:19,248,150.12707659782762
27,3642,1,2024-04-30 14:17:00,2024-04-30 15:35:00,78,174.43846977792882
28,3719,6,2024-11-09 07:12:59,2024-11-09 07:30:59,18,109.40083842386848
29,3744,3,2025-03-09 22:14:19,2025-03-09 23:35:19,81,200.47844785459733
30,3317,6,2023-01-13 10:16:45,2023-01-13 11:58:45,102,211.7157752708254
31,982,3,2024-12-03 16:53:05,2024-12-03 17:46:05,53,203.73461898065923
32,4786,1,2025-02-17 00:54:35,2025-02-17 05:52:35,298,191.1659953086881
