id_cliente,id_atendimento,nota_nps,data_pesquisa
4560,10651,7,2024-10-26 03:20:19
2487,2042,10,2025-10-24 01:25:22
1313,8669,10,2025-10-31 17:56:18
3517,1115,6,2025-02-07 16:58:21
1865,13903,10,2024-03-02 08:57:11
1824,11964,10,2024-03-18 02:42:32
2113,11073,0,2023-09-01 05:46:16
2876,3003,8,2024-09-09 01:11:26
585,19772,8,2023-10-10 11:49:45
2365,8116,9,2023-04-22 03:48:59
4016,3526,6,2025-09-19 18:30:06
1005,7880,9,2023-10-04 08:03:14
3913,16442,6,2023-03-31 19:04:23
3696,16297,10,2023-10-08 12:35:40
3724,12567,8,2025-03-29 00:39:35
3472,5253,7,2023-01-02 14:27:46
3128,19394,3,2025-12-01 00:04:31
757,16797,8,2024-07-02 04:47:51
4186,8095,8,2025-05-10 23:40:49
1425,323,6,2025-05-08 15:29:37
2220,9924,8,2024-02-26 23:07:09
3054,7460,7,2024-01-07 05:28:52
1518,19025,8,2024-11-26 19:36:14
2168,17554,10,2024-08-08 08:57:16
4838,9120,10,2025-05-06 15:15:21
1649,16422,10,2024-03-01 03:52:26
588,16061,9,2023-05-05 19:23:11
4054,10121,6,2025-03-07 05:57:04
4834,19056,10,2023-07-29 04:55:41
2998,3650,9,2025-07-29 14:55:42
185,3942,10,2025-11-01 15:27:50
2048,17881,8,2025-06-13 22:24:40
3154,16676,10,2025-11-08 08:22:39
3065,12631,9,2023-03-13 23:05:07
4293,11444,10,2025-06-30 04:45:03
3109,12158,3,2025-02-08 07:34:12
2213,13836,8,2023-12-06 00:13:09
4166,3435,9,2024-01-21 06:14:41
2194,18740,5,2024-09-08 08:59:22
3330,17408,3,2025-06-25 10:23:48
4277,15441,10,2025-12-29 23:57:11
9,10407,9,2023-08-05 08:45:23
1589,6518,10,2023-01-29 07:54:45
4329,972,10,2023-03-16 09:23:54
3872,16488,9,2025-12-07 05:42:02
180,19731,10,2024-08-10 11:30:58
2294,13138,6,2023-08-04 20:43:50
2891,3670,10,2025-07-27 14:39:35
4720,15984,2,2024-06-27 02:11:59
1104,4059,10,2024-10-15 14:07:39
4598,14977,10,2024-10-31 23:35:26
3223,15699,6,2024-08-11 23:04:21
2403,13830,10,2024-02-04 21:00:52
444,13420,9,2023-03-12 14:55:55
1773,961,6,2025-06-13 20:23:01
3031,17745,7,2025-07-26 18:13:07
1097,9865,7,2025-05-11 12:17:39
3275,11264,5,2024-02-05 07:04:09
4357,15783,4,2025-10-27 02:37:03
4818,17197,7,2024-09-01 20:23:10
2530,7555,8,2023-03-25 00:02:57
2201,10499,10,2024-12-22 21:16:23
